project;sonar_start_date;sonar_end_date;sonar_duration;ccq_builds_in_sonar_period;median_ncloc;median_bugs;median_code_smells;median_sqale_index;median_bugs_density;median_code_smells_density;median_sqale_ratio;median_duplicated_lines_density;median_coverage;median_ci_duration;median_ci_time_to_fix;ci_build_activity;ci_builds_in_sonar_period;ci_builds_total_activity_days;ccq_ratio
OuiSouss/blackhole;2019-02-21T00:16:30+0100;2019-07-30T03:42:00+0200;159;200;1467;0;17;287;0;0.0115882753919564;0.7;1.3;17.8;147;696;0.974842767295597;278;155;0.719424460431655
LibraryOfCongress/concordia;2019-03-14T22:00:21+0100;2019-07-30T02:51:09+0200;137;1136;13348;54;13;72;0.00405725280235823;0.00104209402062438;0;4;53.3;827.5;1139.5;0.970802919708029;1288;133;0.881987577639752
ressec/hemajoo-foundation;2019-03-26T18:56:26+0100;2019-07-30T01:05:39+0200;125;120;1422;0;107;692;0;0.0752461322081575;1.6;0;50.9;166;62183.5;0.976;128;122;0.9375
apache/incubator-tamaya;2019-04-21T22:40:53+0200;2019-07-29T20:30:35+0200;98;136;8550;1;190;2102;0.000116959064327485;0.0222222222222222;0.8;2.3;62.9;1016;2172;0.897959183673469;162;88;0.839506172839506
Mastercard/oauth1-signer-php;2019-02-23T20:05:20+0100;2019-07-29T22:24:29+0200;156;152;184;0;1;7;0;0.00543478260869565;0.1;0;93.5;346;NULL;0.961538461538462;174;150;0.873563218390805
dsaltares/musicplayer-ui;2019-03-23T20:43:35+0100;2019-07-29T23:03:29+0200;128;128;763;0;7;80;0;0.00917431192660551;0.3;0;61.9;156;86502;0.953125;140;122;0.914285714285714
SonarSource/sonarqube;2018-10-11T09:54:56+0200;2019-07-29T20:31:55+0200;291;344;298478;59;3532;36152;0.000198200740397342;0.0118218210834769;0.4;0.5;89.5;1492;29708.5;0.556701030927835;383;162;0.898172323759791
Mastercard/client-encryption-python;2019-05-21T16:59:27+0200;2019-07-29T20:44:13+0200;69;128;499;0;0;0;0;0;0;0;100;118;3243;0.91304347826087;130;63;0.984615384615385
Mastercard/client-encryption-nodejs;2019-03-28T10:30:39+0100;2019-07-29T19:09:35+0200;123;136;452;0;0;0;0;0;0;0;100;580;114;0.926829268292683;172;114;0.790697674418605
Mastercard/oauth1-signer-ruby;2019-02-23T16:47:50+0100;2019-07-29T19:03:44+0200;156;128;120;0;0;0;0;0;0;0;92.1;1035.5;9015;0.923076923076923;174;144;0.735632183908046
